from_node_id,to_node_id,bidirectional
31,30,true
31,61,true
31,0,true
0,32,true
32,33,true
6,33,true
60,29,true
60,7,true
55,29,false
8,7,true
55,8,true
8,54,true
54,28,true
28,56,true
56,57,true
57,27,true
6,34,true
34,62,true
62,2,true
2,63,true
63,64,true
64,5,true
5,6,true
27,53,true
54,26,true
26,84,true
84,53,true
84,59,true
59,52,true
59,58,true
58,85,false
52,83,true
83,35,true
85,35,true
3,8,true
3,5,true
5,36,true
36,82,true
82,25,true
25,10,true
10,80,true
80,12,true
12,15,true
15,51,true
51,81,true
81,12,true
80,11,true
11,78,true
78,9,true
9,86,true
86,24,true
24,77,true
77,78,true
81,79,true
79,13,true
13,50,true
50,65,true
65,14,true
14,47,true
47,66,false
66,16,true
16,49,true
16,67,true
67,23,true
23,76,true
76,99,true
99,4,true
99,87,true
87,37,true
88,38,true
38,39,true
39,89,true
89,88,true
89,41,true
41,90,true
90,94,true
94,95,true
95,91,true
91,44,true
44,75,true
75,43,true
42,43,true
42,92,true
39,40,true
40,98,true
17,89,true
17,93,true
93,68,true
68,21,true
21,20,true
20,48,true
48,71,true
71,19,true
19,18,true
18,97,true
97,22,true
22,92,true
97,96,true
96,45,false
45,46,true
74,46,true
70,74,true
46,73,true
70,69,true
69,1,true
1,72,true
72,71,true
19,20,true
78,5,true
26,6,true
