id, x, y
0,220.7,126.8
1,1670.3,137.6
2,661.2,153.8
3,500.6,570.2
4,1041.8,597.3
5,565.1,465.1
6,394.2,341.5
7,374.1,455.9
8,364.4,600.8
9,840.9,722.7
10,849.1,515.4
11,932.4,463.4
12,778.8,335.6
13,1116.2,329.6
14,1056.4,82.8
15,842.7,206.5
16,1269.8,266.7
17,1287.4,531.2
18,1535.9,517.1
19,1604.3,394.7
20,1483.3,301.4
21,1389.9,361.2
22,1436.7,699.3
23,1158.5,520.0
24,1046.4,763.6
25,727.1,664.2
26,459.0,793.6
27,266.6,869.9
28,190.4,747.5
29,131.6,498.6
30,108.2,328.1
31,81.3,156.4
32,424.4,110.6
33,483.4,213.9
34,496.8,335.3
35,769.7,860.1
36,645.7,542.8
37,1047.3,950.3
38,1237.6,926.2
39,1239.4,775.0
40,1271.1,732.1
41,1419.5,902.9
42,1568.1,844.4
43,1612.6,737.7
44,1733.1,684.7
45,1746.9,487.9
46,1757.2,374.3
47,1275.3,63.5
48,1498.6,129.7
49,1187.9,201.2
50,1018.3,276.9
51,898.3,141.5
52,571.0,761.0
53,534.3,968.5
54,339.3,795.7
55,203.5,619.5
56,131.9,671.6
57,209.8,984.4
58,705.3,976.1
59,654.4,885.1
60,256.7,371.5
61,307.7,265.9
62,621.8,255.6
63,734.6,93.9
64,742.9,212.5
65,1052.6,193.8
66,1307.9,167.2
67,1239.2,399.0
68,1441.9,476.3
69,1684.0,257.0
70,1782.1,256.1
71,1573.9,240.6
72,1597.8,97.4
73,1719.8,56.6
74,1853.1,445.9
75,1646.4,615.4
76,1206.7,613.4
77,947.6,697.2
78,896.0,612.1
79,1067.8,487.8
80,739.3,425.1
81,960.8,346.5
82,639.0,643.9
83,697.7,770.3
84,471.5,876.3
85,847.8,975.6
86,934.2,815.0
87,1108.0,830.5
88,1294.1,962.9
89,1346.3,828.7
90,1551.4,972.9
91,1761.3,885.9
92,1488.5,794.4
93,1437.3,604.7
94,1833.7,621.0
95,1805.3,787.7
96,1626.9,489.0
97,1562.6,622.6
98,1353.2,625.2
99,1174.8,702.7
